CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0152,1.0,C0137,1.0,C0107,1.0
C0002,C0142,1.0,C0177,1.0,C0027,1.0
C0003,C0133,1.0,C0052,1.0,C0192,1.0
C0004,C0113,1.0,C0102,1.0,C0104,1.0
C0005,C0159,1.0,C0186,1.0,C0007,1.0
C0006,C0158,1.0,C0168,1.0,C0133,1.0
C0007,C0159,1.0,C0005,1.0,C0115,1.0
C0008,C0065,1.0,C0109,1.0,C0175,1.0
C0009,C0062,1.0,C0132,1.0,C0197,1.0
C0010,C0199,1.0,C0166,1.0,C0121,1.0
C0011,C0107,1.0,C0048,1.0,C0152,1.0
C0012,C0155,1.0,C0108,1.0,C0013,1.0
C0013,C0087,1.0,C0155,1.0,C0012,1.0
C0014,C0060,1.0,C0198,1.0,C0097,1.0
C0015,C0144,1.0,C0036,1.0,C0123,1.0
C0016,C0183,1.0,C0072,1.0,C0018,1.0
C0017,C0162,1.0,C0021,1.0,C0124,1.0
C0018,C0016,1.0,C0183,1.0,C0072,1.0
C0019,C0172,1.0,C0127,1.0,C0081,1.0
C0020,C0058,1.0,C0033,1.0,C0110,1.0
